date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:46:22	159120/159120	---MCZ	200	added ('OK')	text/html	etag:W/%2226d90-61253cf4d8834%22	https://breakthroughrun.com/	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/index.html	(from )
20:46:22	74/74	---M--	200	added ('OK')	text/plain	etag:%224a-61253cf47cf66%22	https://breakthroughrun.com/robots.txt		(from )
20:46:22	9551/9551	---M--	200	added ('OK')	image/png	etag:%22254f-61253cf7480e9%22	https://breakthroughrun.com/favicons/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4/favicon-180x180.png	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/favicons/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4/favicon-180x180.png	(from https://breakthroughrun.com/)
20:46:23	1347/1347	---M--	200	added ('OK')	image/png	etag:%22543-61253cf7dc3db%22	https://breakthroughrun.com/favicons/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4/favicon-32x32.png	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/favicons/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4/favicon-32x32.png	(from https://breakthroughrun.com/)
20:46:23	538/538	---M--	200	added ('OK')	image/png	etag:%2221a-61253cf872276%22	https://breakthroughrun.com/favicons/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4/favicon-16x16.png	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/favicons/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4/favicon-16x16.png	(from https://breakthroughrun.com/)
20:46:23	555039/555039	---MCZ	200	added ('OK')	text/css	etag:W/%229c546bb8a8b0165f1ce045b591a5a3d8%22	https://static-gcs.edit.site/bundle/publish/0.40.3/publish.css	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/static-gcs.edit.site/bundle/publish/0.40.3/publish.css	(from https://breakthroughrun.com/)
20:46:24	20579/20579	---MCZ	200	added ('OK')	text/css	etag:W/%225063-61253cf2b621d%22	https://breakthroughrun.com/styles/7f4e4650-5e51-4a36-894d-5a53a7ac9ad4.css?v=1709001020000	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/styles/7f4e4650-5e51-4a36-894d-5a53a7ac9ad43ede.css	(from https://breakthroughrun.com/)
20:46:24	10956/10956	---M--	200	added ('OK')	font/woff2	etag:%222acc-61253cf5c747f%22	https://breakthroughrun.com/__fonts/krub-normal-200.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-normal-200.woff2	(from https://breakthroughrun.com/)
20:46:24	11436/11436	---M--	200	added ('OK')	font/woff2	etag:%222cac-61253d0207ffb%22	https://breakthroughrun.com/__fonts/krub-italic-200.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-italic-200.woff2	(from https://breakthroughrun.com/)
20:46:24	11028/11028	---M--	200	added ('OK')	font/woff2	etag:%222b14-61253d02a5f54%22	https://breakthroughrun.com/__fonts/krub-normal-300.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-normal-300.woff2	(from https://breakthroughrun.com/)
20:46:24	11568/11568	---M--	200	added ('OK')	font/woff2	etag:%222d30-61253d03459f4%22	https://breakthroughrun.com/__fonts/krub-italic-300.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-italic-300.woff2	(from https://breakthroughrun.com/)
20:46:25	10864/10864	---M--	200	added ('OK')	font/woff2	etag:%222a70-61253d03e2dad%22	https://breakthroughrun.com/__fonts/krub-normal-400.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-normal-400.woff2	(from https://breakthroughrun.com/)
20:46:25	11396/11396	---M--	200	added ('OK')	font/woff2	etag:%222c84-61253cf2493ea%22	https://breakthroughrun.com/__fonts/krub-italic-400.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-italic-400.woff2	(from https://breakthroughrun.com/)
20:46:25	10896/10896	---M--	200	added ('OK')	font/woff2	etag:%222a90-61253cf2e8ea2%22	https://breakthroughrun.com/__fonts/krub-normal-500.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-normal-500.woff2	(from https://breakthroughrun.com/)
20:46:25	11480/11480	---M--	200	added ('OK')	font/woff2	etag:%222cd8-61253cf38d765%22	https://breakthroughrun.com/__fonts/krub-italic-500.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-italic-500.woff2	(from https://breakthroughrun.com/)
20:46:26	10928/10928	---M--	200	added ('OK')	font/woff2	etag:%222ab0-61253cf28d5ae%22	https://breakthroughrun.com/__fonts/krub-normal-600.woff2	C:/Users/Conno/OtherDocuments/Website/https___breakthroughrun.com_/breakthroughrun.com/__fonts/krub-normal-600.woff2	(from https://breakthroughrun.com/)
